ticker,date,gap_up_percent,open_price,close_price,anchored_vwap,retraced_to_vwap,days_to_retrace,retrace_percentage,mfe_dollars,mae_dollars,mfe_percent,mae_percent,sma_330_distance_percent,spy_daily_gain_percent
U,2025-01-02,12.06,25.18,24.51,23.99,True,1,361.56,1.29,3.62,5.26,14.77,-1.39,-0.25
BBLGW,2025-01-02,8.75,43.5,44.3,38.23,False,,-15.18,10.2,0.0,23.02,0.0,306.44,-0.25
DIT,2025-01-02,7.29,137.5,128.0,130.28,True,1,133.99,10.29,0.17,8.04,0.13,-21.93,-0.25
NET,2025-01-02,6.33,114.5,112.54,110.87,True,8,137.89,5.59,3.04,4.97,2.7,35.58,-0.25
SOR,2025-01-02,5.54,45.9,43.01,42.85,True,1,154.52,1.29,1.83,3.0,4.25,2.19,-0.25
MNSO,2025-01-03,6.31,26.8,27.56,25.95,True,3,489.3,-1.11,4.9,-4.03,17.78,33.2,1.25
ASAN,2025-01-06,9.17,22.5,21.8,21.64,True,1,475.49,0.27,3.37,1.24,15.46,34.65,0.58
DIT,2025-01-06,7.3,138.0,127.83,130.91,True,1,183.38,12.17,2.83,9.52,2.21,-21.83,0.58
NYAX,2025-01-06,7.14,32.86,33.55,32.18,True,4,141.54,3.64,1.65,10.83,4.91,38.25,0.58
NVMI,2025-01-06,6.91,218.79,214.62,211.89,True,2,131.97,34.39,4.94,16.02,2.3,23.45,0.58
SMR,2025-01-06,6.71,22.25,23.66,21.81,True,1,941.75,0.34,5.53,1.44,23.37,160.61,0.58
DXYZ,2025-01-06,6.6,65.77,61.78,61.87,True,1,443.09,0.07,13.3,0.11,21.53,99.92,0.58
FGF,2025-01-06,5.9,24.6,22.05,23.54,True,1,557.95,0.82,3.37,3.72,15.28,396.8,0.58
LB,2025-01-06,5.69,73.98,73.29,71.69,True,1,323.85,4.08,6.74,5.57,9.2,29.86,0.58
HMC,2025-01-06,5.41,30.2,29.78,29.47,True,4,330.3,0.79,2.01,2.65,6.74,-7.11,0.58
UNF,2025-01-07,39.83,236.78,204.69,212.12,True,1,159.08,27.45,7.13,13.41,3.48,16.81,-1.13
SSTK,2025-01-07,23.26,37.04,34.5,35.17,True,1,521.12,-0.95,7.2,-2.75,20.87,-12.7,-1.13
NARI,2025-01-07,21.49,78.97,79.45,72.14,False,,-2.78,0.24,0.29,0.3,0.37,54.04,-1.13
MPTI,2025-01-07,12.45,55.0,52.52,51.43,True,1,262.23,3.13,6.88,5.96,13.1,41.65,-1.13
ZLAB,2025-01-07,7.36,27.28,25.81,25.92,True,1,254.04,0.48,1.99,1.84,7.71,14.94,-1.13
GDXU,2025-01-07,5.97,30.34,29.79,29.75,True,6,157.25,5.1,0.37,17.12,1.24,-14.23,-1.13
CVNA,2025-01-07,5.71,199.62,198.35,193.6,True,1,218.6,39.65,11.89,19.99,5.99,75.44,-1.13
ROKU,2025-01-07,5.37,84.2,77.99,79.91,True,1,235.43,6.93,3.89,8.89,4.99,8.44,-1.13
WGS,2025-01-07,5.1,94.18,97.04,90.46,True,1,735.52,0.29,30.23,0.3,31.15,340.01,-1.13
LCFYW,2025-01-08,10.75,23.7,20.99,21.37,True,1,127.96,29.32,0.27,139.69,1.29,292.71,0.15
AIR,2025-01-08,6.88,66.0,67.09,64.53,False,,76.78,4.41,2.22,6.57,3.31,3.59,0.15
CALM,2025-01-08,5.88,109.78,104.73,105.97,True,1,218.54,9.67,3.28,9.23,3.13,58.41,0.15
HALO,2025-01-08,5.72,54.12,53.76,51.71,False,,78.52,2.03,1.53,3.78,2.85,18.05,0.15
BSX,2025-01-08,5.1,96.68,95.95,93.74,True,5,118.32,3.19,2.75,3.32,2.86,34.22,0.15
MSM,2025-01-08,5.06,83.9,82.64,80.8,True,2,141.5,0.81,3.13,0.98,3.79,-8.07,0.15
CEG,2025-01-10,15.85,282.49,305.19,275.61,False,,52.75,15.32,26.33,5.02,8.63,66.97,-1.53
NYAX,2025-01-10,12.1,37.19,32.97,33.63,True,3,148.65,2.83,1.06,8.6,3.23,35.02,-1.53
MNPR,2025-01-10,8.42,26.52,25.35,24.79,True,4,145.76,6.6,1.35,26.04,5.33,463.15,-1.53
CPRI,2025-01-10,6.93,23.0,23.71,22.54,False,,52.2,0.83,0.95,3.5,4.01,-39.18,-1.53
ECO,2025-01-10,6.67,23.52,24.27,22.97,False,,45.59,1.07,1.0,4.41,4.12,-8.66,-1.53
GDXU,2025-01-10,6.41,33.87,31.93,31.52,True,3,189.42,2.96,2.51,9.27,7.86,-8.07,-1.53
INSW,2025-01-10,6.37,40.6,40.67,39.23,True,7,182.2,1.75,2.56,4.3,6.29,-18.4,-1.53
DIT,2025-01-10,6.36,138.29,128.0,132.27,True,3,220.71,12.0,3.0,9.38,2.34,-21.34,-1.53
STNG,2025-01-10,6.07,55.57,54.85,52.9,True,7,137.14,1.89,2.94,3.45,5.36,-16.32,-1.53
UAL,2025-01-10,5.54,109.47,107.11,105.18,True,3,169.9,3.04,4.93,2.84,4.6,99.83,-1.53
TNK,2025-01-10,5.44,44.4,45.36,43.51,True,7,210.22,3.01,2.84,6.64,6.26,-16.6,-1.53
ITCI,2025-01-13,34.87,127.95,127.19,123.83,False,,47.37,0.41,1.19,0.32,0.94,79.57,0.16
OPCH,2025-01-13,14.55,27.48,27.72,26.49,False,,22.21,2.78,0.46,10.03,1.66,-6.59,0.16
OCS,2025-01-13,5.58,22.33,22.38,21.68,False,,82.0,0.62,0.58,2.77,2.59,75.07,0.16
DXCM,2025-01-13,5.45,82.0,79.84,78.34,True,1,134.06,8.36,2.74,10.48,3.43,-21.0,0.16
TNK,2025-01-13,5.2,47.72,47.16,46.41,True,1,567.74,0.53,6.89,1.12,14.61,-13.33,0.16
HEES,2025-01-14,105.89,90.47,90.29,89.32,True,1,240.91,0.07,2.59,0.08,2.87,79.01,0.14
KBH,2025-01-14,11.78,71.63,67.17,66.8,True,2,113.6,4.48,1.03,6.67,1.54,-1.08,0.14
DXYZ,2025-01-14,9.42,53.06,49.81,50.49,False,,68.48,17.88,-1.49,35.9,-2.99,53.05,0.14
QMCO,2025-01-14,8.76,22.73,22.41,22.1,False,,-656.23,18.59,-4.48,82.95,-19.99,368.09,0.14
LCFYW,2025-01-14,7.64,50.31,42.93,43.6,True,1,323.75,23.57,14.33,54.9,33.38,655.64,0.14
TGTX,2025-01-14,6.79,29.55,29.74,28.87,True,3,163.19,1.53,1.3,5.14,4.37,56.57,0.14
HUT,2025-01-14,5.97,24.3,23.86,23.26,False,,-40.52,5.42,-0.86,22.72,-3.6,260.7,0.14
BJRI,2025-01-14,5.85,36.54,34.51,34.71,True,1,144.57,1.45,0.61,4.19,1.77,4.68,0.14
URI,2025-01-14,5.49,727.0,729.86,704.95,False,,-34.04,65.44,-4.64,8.97,-0.64,10.53,0.14
TMDX,2025-01-14,5.26,67.42,62.54,62.99,True,1,280.49,1.66,7.54,2.65,12.06,-37.94,0.14
OKLO,2025-01-14,5.16,24.06,22.81,22.93,False,,86.19,20.89,-0.28,91.58,-1.23,26.91,0.14
JD,2025-01-14,5.12,35.1,34.74,34.2,False,,-16.09,6.04,-0.5,17.39,-1.45,17.39,0.14
FUTU,2025-01-14,5.02,78.9,77.64,76.75,False,,14.91,19.59,-0.94,25.23,-1.21,15.91,0.14
BECN,2025-01-15,11.16,121.0,117.18,116.52,True,1,145.58,2.82,2.7,2.41,2.3,29.23,1.82
MPTI,2025-01-15,9.64,55.26,54.65,50.82,False,,70.22,7.26,2.51,13.28,4.59,45.07,1.82
TIGO,2025-01-15,9.47,26.94,26.91,26.12,False,,45.41,1.18,0.34,4.38,1.27,23.54,1.82
AFRM,2025-01-15,9.21,60.45,58.21,56.47,True,6,141.13,2.15,3.38,3.69,5.81,51.67,1.82
UPST,2025-01-15,8.91,62.08,62.67,59.36,False,,9.2,7.78,0.84,12.41,1.34,70.9,1.82
MBWM,2025-01-15,7.69,46.8,44.38,43.24,False,,94.31,5.32,0.94,12.0,2.12,10.14,1.82
DFH,2025-01-15,7.51,25.33,24.1,23.34,True,1,100.16,1.05,0.76,4.37,3.15,-20.27,1.82
BLDR,2025-01-15,7.49,165.81,161.54,155.46,False,,68.02,7.96,2.77,4.92,1.71,-2.01,1.82
HOV,2025-01-15,6.81,142.02,140.94,130.16,False,,66.16,5.99,6.77,4.25,4.8,-8.06,1.82
DXYZ,2025-01-15,6.81,53.2,55.28,51.43,False,,-33.81,12.41,1.48,22.45,2.68,68.53,1.82
HUT,2025-01-15,6.58,25.43,26.26,24.44,False,,71.69,3.02,1.54,11.5,5.86,292.68,1.82
IBP,2025-01-15,6.51,199.65,194.46,187.13,False,,52.47,13.11,1.38,6.74,0.71,-4.25,1.82
KBH,2025-01-15,6.39,71.46,68.52,67.44,True,1,132.35,1.23,2.38,1.8,3.48,0.81,1.82
AMSC,2025-01-15,6.18,28.02,28.05,26.6,True,6,107.3,2.12,1.55,7.55,5.53,56.88,1.82
GEO,2025-01-15,6.17,33.62,33.85,31.98,False,,77.97,2.61,1.51,7.71,4.46,128.82,1.82
DJTWW,2025-01-15,6.08,29.5,29.34,28.9,True,1,1224.71,2.65,7.14,9.03,24.34,41.59,1.82
BZH,2025-01-15,5.95,28.69,28.43,27.27,False,,85.84,0.71,0.96,2.51,3.38,-4.35,1.82
BLK,2025-01-15,5.88,1019.77,1013.18,978.12,False,,90.27,13.77,31.0,1.36,3.06,21.23,1.82
WFC,2025-01-15,5.86,75.36,75.95,73.15,False,,30.52,2.35,1.27,3.09,1.67,35.07,1.82
BULZ,2025-01-15,5.76,156.89,161.64,151.93,False,,-11.9,25.52,4.16,15.79,2.57,26.13,1.82
BEAM,2025-01-15,5.75,24.64,23.39,24.05,True,1,310.81,3.49,0.59,14.93,2.52,-11.03,1.82
W,2025-01-15,5.71,45.15,42.92,43.62,True,1,206.29,6.99,0.92,16.3,2.14,-18.23,1.82
EIX,2025-01-15,5.68,61.75,61.3,59.59,True,7,220.82,2.67,4.32,4.36,7.06,-17.28,1.82
ORRF,2025-01-15,5.61,37.09,36.01,34.87,False,,99.54,1.02,1.13,2.83,3.14,21.32,1.82
CBRE,2025-01-15,5.58,131.88,131.3,126.81,False,,22.1,10.47,0.54,7.97,0.41,31.29,1.82
LMND,2025-01-15,5.53,33.0,31.83,31.39,True,8,127.02,2.16,0.88,6.78,2.76,57.82,1.82
POWL,2025-01-15,5.48,250.99,249.24,236.31,False,,7.03,80.28,-0.72,32.21,-0.29,54.01,1.82
KKR,2025-01-15,5.46,151.49,150.5,145.44,False,,11.25,15.33,-0.31,10.19,-0.21,41.81,1.82
CCS,2025-01-15,5.45,76.6,76.0,72.96,False,,46.22,3.07,1.08,4.04,1.42,-10.46,1.82
HOOD,2025-01-15,5.34,43.99,45.56,42.92,False,,-118.18,6.5,0.31,14.27,0.68,127.64,1.82
TOST,2025-01-15,5.3,38.16,36.59,36.19,False,,98.02,4.91,0.36,13.42,0.98,47.97,1.82
IWFL,2025-01-15,5.26,49.11,49.11,47.38,False,,44.1,2.78,0.76,5.67,1.55,32.81,1.82
LMAT,2025-01-15,5.22,100.85,97.76,95.76,True,9,116.87,3.46,2.86,3.54,2.93,30.96,1.82
MHO,2025-01-15,5.22,140.01,137.35,131.37,False,,68.44,4.59,3.25,3.34,2.37,4.88,1.82
BKU,2025-01-15,5.15,40.64,39.83,38.65,False,,80.41,1.29,0.79,3.24,1.98,27.13,1.82
NNE,2025-01-15,5.14,22.48,22.85,21.84,False,,14.13,25.2,0.46,110.28,2.01,6.84,1.82
LEN,2025-01-15,5.14,142.13,138.57,135.52,True,6,150.85,5.19,6.41,3.75,4.63,-10.32,1.82
TRUP,2025-01-15,5.13,45.89,47.24,45.0,False,,-23.65,3.27,1.14,6.92,2.41,36.34,1.82
CUBI,2025-01-15,5.08,49.88,48.99,47.42,False,,58.15,9.74,0.54,19.88,1.1,0.18,1.82
MTH,2025-01-15,5.07,82.5,80.58,78.24,False,,83.29,2.69,1.62,3.33,2.02,-51.16,1.82
Z,2025-01-15,5.05,75.47,75.32,72.95,False,,32.93,5.43,0.68,7.2,0.9,39.3,1.82
BLD,2025-01-15,5.01,349.65,343.72,331.8,False,,58.99,13.12,4.6,3.82,1.34,-6.66,1.82
SEZL,2025-01-16,24.54,323.28,262.51,258.0,True,1,172.11,4.75,51.59,1.81,19.65,26.29,-0.19
SYM,2025-01-16,21.44,32.51,31.82,30.12,True,1,119.44,2.37,2.17,7.45,6.82,-12.25,-0.19
IWDL,2025-01-16,20.0,48.02,40.5,46.13,True,1,367.75,1.53,-0.58,3.78,-1.44,15.04,-0.19
DIT,2025-01-16,7.51,135.7,131.0,129.83,True,1,318.52,-3.0,14.0,-2.29,10.69,-19.05,-0.19
MTUL,2025-01-16,6.89,31.28,31.28,29.47,False,,-42.29,2.3,-0.77,7.34,-2.45,27.17,-0.19
CCZ,2025-01-16,6.33,63.99,63.99,60.89,False,,0.0,0.0,0.0,0.0,0.0,12.53,-0.19
TSM,2025-01-16,5.85,218.89,214.79,209.03,False,,79.37,11.61,3.73,5.41,1.74,44.23,-0.19
IIIN,2025-01-16,5.68,26.24,25.75,25.4,False,,50.05,3.45,-0.07,13.4,-0.27,-20.12,-0.19
LTH,2025-01-16,5.31,26.4,26.63,25.27,False,,-5.33,2.29,0.17,8.6,0.64,45.37,-0.19
CAMT,2025-01-16,5.26,98.4,98.94,93.04,False,,-2.05,11.79,0.43,11.92,0.43,20.07,-0.19
DJTWW,2025-01-16,5.15,30.85,29.83,29.08,True,1,489.59,2.16,7.63,7.24,25.58,43.25,-0.19
OVLY,2025-01-16,5.08,27.83,26.14,26.78,True,1,240.7,0.8,0.83,3.08,3.18,0.31,-0.19
NUKK,2025-01-17,63.18,33.5,29.5,30.22,True,4,244.25,3.4,4.0,11.52,13.56,265.3,1.0
ARQQ,2025-01-17,15.21,32.58,26.77,26.05,True,4,129.93,4.33,2.67,16.17,9.97,381.22,1.0
BULZ,2025-01-17,7.35,169.05,169.07,161.38,True,10,197.42,18.09,15.16,10.7,8.96,31.29,1.0
SMLR,2025-01-17,6.46,62.0,64.68,58.98,True,7,411.52,1.3,15.09,2.01,23.33,75.56,1.0
OZK,2025-01-17,5.8,47.97,49.74,46.47,False,,-142.43,1.78,-0.37,3.58,-0.74,14.23,1.0
LITE,2025-01-17,5.34,94.13,94.41,89.67,True,10,517.63,9.59,23.36,10.16,24.74,69.8,1.0
GFS,2025-01-17,5.28,43.09,43.1,42.21,True,6,300.04,0.33,2.66,0.77,6.17,-12.83,1.0
LIF,2025-01-17,5.18,42.67,43.37,41.19,False,,-92.35,4.25,-0.67,9.8,-1.54,2.16,1.0
AAOI,2025-01-21,7.03,33.21,30.15,31.73,True,1,646.38,4.05,6.5,13.43,21.56,85.4,0.92
WSC,2025-01-21,6.96,39.19,38.57,38.45,True,1,375.0,1.03,2.16,2.68,5.59,-3.64,0.92
YY,2025-01-21,5.01,45.09,44.22,44.11,True,1,220.03,2.79,1.29,6.31,2.92,25.78,0.92
LCFYW,2025-01-22,24.89,56.45,31.03,43.21,True,1,195.18,25.87,0.43,83.37,1.39,404.48,0.56
NFLX,2025-01-22,14.76,998.02,953.99,932.14,False,,66.98,40.6,0.09,4.26,0.01,50.28,0.56
ORCL,2025-01-22,10.98,191.51,184.22,179.4,True,5,320.83,4.88,31.56,2.65,17.13,36.12,0.56
SMTI,2025-01-22,8.82,37.0,37.72,35.95,True,7,142.41,0.53,2.22,1.41,5.89,13.74,0.56
TEM,2025-01-22,8.46,51.67,50.45,48.04,True,1,122.54,11.7,3.23,23.19,6.4,5.15,0.56
ALLY,2025-01-22,8.38,41.38,39.65,39.13,True,1,130.57,0.85,1.21,2.14,3.05,10.13,0.56
AI,2025-01-22,7.53,35.28,33.63,33.67,True,1,307.63,1.17,3.29,3.48,9.78,21.0,0.56
IBKR,2025-01-22,7.35,207.0,209.78,201.75,True,5,110.32,11.31,8.57,5.39,4.09,72.11,0.56
STX,2025-01-22,7.29,108.63,108.18,105.59,True,5,407.16,2.06,11.91,1.9,11.01,17.69,0.56
LEU,2025-01-22,6.62,94.39,90.81,88.29,True,5,317.64,8.76,15.81,9.65,17.41,69.59,0.56
MNPR,2025-01-22,6.57,33.76,33.67,32.79,True,5,284.45,11.6,2.67,34.45,7.93,560.07,0.56
QMCO,2025-01-22,6.48,39.61,35.76,36.23,True,1,528.21,-0.08,14.0,-0.22,39.15,574.06,0.56
LEGN,2025-01-22,6.0,36.75,37.44,35.88,True,1,155.39,0.83,2.04,2.22,5.45,-28.02,0.56
APTV,2025-01-22,5.41,65.13,62.73,63.02,True,1,166.65,1.92,1.11,3.06,1.77,-15.51,0.56
BULZ,2025-01-22,5.31,183.06,183.61,177.74,True,5,547.52,3.41,29.7,1.85,16.17,41.8,0.56
HZO,2025-01-23,14.14,31.89,32.37,30.5,True,4,206.61,0.6,3.36,1.84,10.38,4.04,0.55
KNX,2025-01-23,10.04,60.52,57.59,56.85,True,4,109.43,1.92,1.09,3.33,1.89,8.97,0.55
AMTB,2025-01-23,8.01,24.2,23.48,23.03,True,1,131.88,0.73,0.82,3.11,3.49,6.66,0.55
FGF,2025-01-23,7.56,23.32,22.95,22.46,True,1,290.26,1.78,2.14,7.76,9.32,346.4,0.55
GE,2025-01-23,6.92,201.4,200.8,194.68,True,4,142.91,5.13,9.01,2.55,4.49,28.92,0.55
TRUP,2025-01-23,5.72,49.18,48.29,47.43,True,6,134.57,2.22,1.46,4.6,3.02,38.17,0.55
TWLO,2025-01-24,21.29,137.54,136.23,129.46,False,,26.05,15.72,0.79,11.54,0.58,94.69,-0.29
NVO,2025-01-24,10.94,89.97,87.97,85.0,True,4,158.95,0.49,5.9,0.56,6.71,-24.61,-0.29
CCIA,2025-01-24,5.21,27.79,26.68,26.61,True,5,133.51,0.26,0.46,0.97,1.72,3.09,-0.29
AKRO,2025-01-27,118.72,57.26,51.71,50.81,True,1,122.18,6.07,2.33,11.74,4.51,113.16,-1.41
VXX,2025-01-27,11.88,46.7,44.49,44.42,True,1,209.94,3.71,2.57,8.34,5.78,57.02,-1.41
SGRY,2025-01-28,20.0,25.5,25.75,24.25,False,,24.06,0.4,0.55,1.55,2.14,-7.79,0.86
RDW,2025-01-28,10.73,24.15,22.0,22.36,True,1,203.79,4.66,1.5,21.18,6.82,246.56,0.86
NNE,2025-01-28,8.21,35.99,34.79,34.33,True,6,202.62,8.64,2.17,24.83,6.24,55.12,0.86
CRDO,2025-01-28,7.1,59.55,58.15,58.36,True,1,194.23,25.28,0.92,43.47,1.58,89.54,0.86
PWR,2025-01-28,6.49,311.42,293.98,301.15,True,1,173.69,26.43,0.39,8.99,0.13,14.42,0.86
GEV,2025-01-28,6.49,351.42,355.12,338.46,False,,39.79,34.77,8.86,9.79,2.49,13.25,0.86
OKLO,2025-01-28,6.24,33.05,34.12,32.13,False,,-23.82,25.02,0.85,73.33,2.49,77.23,0.86
LUNR,2025-01-28,5.87,22.38,21.52,21.59,True,1,541.81,2.37,3.39,11.01,15.78,107.04,0.86
VERA,2025-01-28,5.86,36.88,35.98,35.38,False,,84.28,4.49,0.36,12.48,1.01,4.3,0.86
CIX,2025-01-28,5.73,24.89,24.85,24.31,True,1,326.69,1.85,1.85,7.44,7.44,-5.09,0.86
NYAX,2025-01-28,5.71,35.94,36.45,34.97,False,,-73.13,3.52,-0.2,9.66,-0.55,47.02,0.86
AKRO,2025-01-28,5.65,54.63,51.47,52.84,True,1,158.56,6.31,-0.32,12.26,-0.62,112.06,0.86
SFST,2025-01-28,5.54,39.06,37.78,37.56,True,1,270.51,0.98,2.77,2.59,7.33,14.33,0.86
MSB,2025-01-28,5.42,35.0,34.76,34.06,True,1,1271.89,0.64,11.7,1.86,33.66,69.06,0.86
NXT,2025-01-29,25.95,49.9,49.24,45.17,False,,87.23,3.03,3.47,6.15,7.05,32.3,-0.45
EAT,2025-01-29,14.21,176.58,179.79,167.03,False,,50.14,12.43,8.0,6.91,4.45,157.64,-0.45
FFIV,2025-01-29,13.82,307.0,300.46,280.97,False,,74.66,9.68,12.89,3.22,4.29,53.34,-0.45
DJT,2025-01-29,11.88,33.61,32.07,31.6,True,1,180.23,0.53,2.08,1.65,6.49,8.85,-0.45
MBIN,2025-01-29,8.27,43.05,42.35,41.39,True,5,162.48,0.94,2.0,2.22,4.72,5.37,-0.45
TMUS,2025-01-29,7.62,238.0,235.15,229.1,False,,78.65,15.35,4.15,6.53,1.76,28.81,-0.45
GLW,2025-01-29,7.57,55.11,49.8,50.83,True,1,147.97,4.51,1.02,9.06,2.05,31.44,-0.45
ASML,2025-01-29,6.41,727.15,712.65,695.64,False,,29.32,41.95,-5.26,5.89,-0.74,-13.33,-0.45
SLGN,2025-01-29,6.0,56.19,55.78,54.93,True,5,200.84,0.89,2.12,1.6,3.8,17.67,-0.45
LRN,2025-01-29,5.55,127.33,127.87,124.16,False,,-38.05,17.13,-0.67,13.4,-0.53,73.21,-0.45
HAFC,2025-01-29,5.24,24.09,24.54,23.63,True,5,217.88,0.31,1.45,1.26,5.91,32.59,-0.45
TECX,2025-01-30,92.46,49.5,54.84,47.64,True,5,701.58,6.23,18.4,11.36,33.55,40.24,0.54
CLS,2025-01-30,16.53,117.1,114.15,99.57,False,,46.2,30.12,5.15,26.39,4.51,115.24,0.54
NTCT,2025-01-30,16.33,26.0,25.06,24.01,True,1,143.66,-0.24,1.92,-0.96,7.66,19.33,0.54
OSK,2025-01-30,12.95,108.01,113.26,104.23,False,,-58.95,5.13,3.02,4.53,2.67,6.96,0.54
IIPR,2025-01-30,12.15,74.4,73.05,69.74,True,4,115.25,2.28,4.02,3.12,5.5,-28.28,0.54
ABG,2025-01-30,9.37,300.02,305.86,291.98,True,4,208.18,4.13,22.58,1.35,7.38,33.95,0.54
LVS,2025-01-30,9.37,47.5,48.24,45.33,True,1,251.49,-0.34,6.19,-0.7,12.83,1.43,0.54
IBM,2025-01-30,9.35,250.0,258.27,239.84,False,,-18.12,7.45,6.43,2.88,2.49,36.97,0.54
NUKK,2025-01-30,8.52,27.77,26.36,26.89,True,1,811.7,-0.61,5.73,-2.31,21.74,172.18,0.54
CALX,2025-01-30,8.49,40.0,40.18,38.48,False,,97.83,2.32,1.67,5.77,4.16,11.0,0.54
LAZ,2025-01-30,8.08,56.98,55.16,54.13,True,4,178.07,1.11,3.26,2.01,5.91,29.88,0.54
LITE,2025-01-30,7.84,84.02,83.98,79.18,True,4,107.89,11.02,5.18,13.12,6.17,48.15,0.54
CRDO,2025-01-30,7.02,62.91,64.6,59.25,False,,11.05,18.83,2.09,29.15,3.24,108.72,0.54
ANET,2025-01-30,6.43,114.77,113.86,106.19,False,,69.55,6.46,5.06,5.67,4.44,-59.29,0.54
DOV,2025-01-30,6.4,210.0,205.42,201.04,True,4,127.86,16.89,6.87,8.22,3.34,18.27,0.54
LRCX,2025-01-30,6.12,79.75,80.73,76.89,False,,43.75,3.48,2.23,4.32,2.76,-87.76,0.54
CIVB,2025-01-30,5.95,22.79,21.39,21.57,True,4,178.15,1.36,0.78,6.36,3.64,25.23,0.54
AVGO,2025-01-30,5.92,218.57,215.66,208.0,False,,47.88,22.27,2.15,10.33,1.0,-72.54,0.54
WDC,2025-01-30,5.81,66.45,65.78,64.35,True,4,149.45,2.18,2.48,3.31,3.76,4.87,0.54
GDXU,2025-01-30,5.76,38.54,40.75,37.46,False,,-12.99,7.31,2.07,17.94,5.08,15.91,0.54
TSLA,2025-01-30,5.57,410.78,400.28,395.96,True,4,340.37,19.71,39.94,4.92,9.98,65.37,0.54
DAR,2025-01-30,5.41,36.61,36.65,35.87,True,5,322.88,4.01,2.42,10.94,6.6,-10.08,0.54
BHE,2025-01-30,5.41,46.0,42.51,43.88,True,1,239.92,1.05,1.6,2.47,3.76,15.69,0.54
BL,2025-01-30,5.34,66.25,63.44,63.59,True,1,166.1,2.58,1.6,4.07,2.52,12.47,0.54
CNOB,2025-01-30,5.04,25.03,25.07,24.21,False,,85.65,2.07,0.74,8.26,2.95,15.31,0.54
TEAM,2025-01-31,20.06,320.51,306.78,290.28,False,,81.07,19.22,10.78,6.27,3.51,52.68,-0.53
ARCB,2025-01-31,9.13,103.14,95.61,96.45,True,3,192.66,4.38,5.36,4.58,5.61,-16.57,-0.53
EMN,2025-01-31,8.91,100.93,99.65,95.98,False,,88.69,3.28,3.11,3.29,3.12,5.9,-0.53
RBC,2025-01-31,7.79,347.12,348.75,334.91,False,,14.34,23.76,3.38,6.81,0.97,24.95,-0.53
CPHC,2025-01-31,7.66,22.07,21.5,20.54,True,3,135.0,-0.65,1.5,-3.02,6.98,1.82,-0.53
HTH,2025-01-31,7.38,32.0,30.18,30.1,True,3,140.41,2.77,0.85,9.18,2.82,-2.82,-0.53
ATGE,2025-01-31,7.3,109.9,107.13,103.58,True,3,127.54,3.54,5.29,3.3,4.94,59.75,-0.53
CHTR,2025-01-31,7.17,360.75,345.49,350.19,True,3,232.15,8.83,9.26,2.56,2.68,1.99,-0.53
CACC,2025-01-31,6.99,550.0,507.77,523.22,True,3,212.9,18.69,14.79,3.68,2.91,2.97,-0.53
ABBV,2025-01-31,6.63,187.3,183.9,180.32,False,,73.81,10.59,1.75,5.76,0.95,7.09,-0.53
LBRDK,2025-01-31,5.51,78.72,76.66,76.88,True,3,205.83,2.73,1.72,3.56,2.24,10.45,-0.53
PIPR,2025-01-31,5.48,327.0,317.14,315.09,True,3,184.62,10.87,12.12,3.43,3.82,37.88,-0.53
SAIA,2025-02-03,11.01,532.99,470.41,487.94,True,1,150.68,67.61,5.3,14.37,1.13,1.3,-0.67
IDXX,2025-02-03,10.18,465.0,469.04,447.93,False,,76.82,2.77,17.15,0.59,3.66,-3.28,-0.67
VXX,2025-02-03,6.82,47.13,45.07,44.83,True,1,220.23,0.0,3.01,0.0,6.68,57.35,-0.67
PLTR,2025-02-04,22.76,102.8,103.83,96.09,False,,51.86,16.84,4.51,16.22,4.34,207.28,0.67
SIM,2025-02-04,13.36,25.11,25.96,24.47,True,6,208.56,0.67,2.2,2.58,8.46,-12.51,0.67
ATI,2025-02-04,10.43,64.0,63.72,61.52,True,8,190.0,3.08,4.44,4.83,6.97,19.04,0.67
LCFYW,2025-02-04,9.99,98.99,100.99,84.78,True,10,345.02,147.0,51.02,145.56,50.52,1258.1,0.67
FOXA,2025-02-04,6.7,55.43,54.64,52.99,True,3,141.26,1.22,2.66,2.23,4.87,49.24,0.67
FOX,2025-02-04,6.46,52.37,51.55,50.33,True,3,149.24,0.96,2.22,1.86,4.31,51.34,0.67
IESC,2025-02-04,6.04,233.18,214.72,216.91,True,1,160.09,33.95,7.59,15.81,3.53,41.95,0.67
BULZ,2025-02-04,5.89,172.82,179.03,167.64,False,,47.27,19.22,8.66,10.74,4.84,35.28,0.67
TEM,2025-02-04,5.71,65.06,61.85,60.68,False,,35.07,29.6,-1.67,47.86,-2.7,27.19,0.67
FTLF,2025-02-04,5.18,32.9,31.83,31.63,True,1,1430.08,0.17,17.11,0.53,53.75,6.68,0.67
MRCY,2025-02-05,24.14,52.25,49.88,47.97,True,1,201.31,0.38,6.24,0.75,12.51,45.33,0.41
AVNW,2025-02-05,21.65,25.0,26.35,23.55,True,2,223.49,-0.01,4.58,-0.04,17.38,-3.44,0.41
CRTO,2025-02-05,21.09,46.5,45.17,42.35,False,,82.81,1.63,2.11,3.61,4.66,26.18,0.41
LCFYW,2025-02-05,20.79,121.99,151.0,94.81,True,9,264.94,96.99,101.03,64.23,66.91,1817.18,0.41
BBLGW,2025-02-05,18.41,82.0,89.77,79.54,True,9,925.34,5.23,30.55,5.83,34.03,484.79,0.41
JCI,2025-02-05,12.71,87.11,86.01,82.9,False,,34.64,3.94,0.36,4.58,0.42,28.06,0.41
